"id","Temp_C","Visibility_km","Press_kPa","Weather","Date/Time","Dew Point Temp_C","Rel Hum_%","Wind_Speed_km_h"
427,-12.0,25.0,101.67,Clear,"2012-01-18 18:00:00",-18.2,60,22.0
428,-12.7,25.0,101.78,Clear,"2012-01-18 19:00:00",-18.7,61,22.0
429,-13.4,25.0,101.83,Clear,"2012-01-18 20:00:00",-19.2,62,17.0
430,-13.7,25.0,101.89,Clear,"2012-01-18 21:00:00",-19.3,63,17.0
431,-14.2,25.0,101.92,Clear,"2012-01-18 22:00:00",-19.8,62,13.0
432,-14.9,25.0,101.93,Clear,"2012-01-18 23:00:00",-19.9,66,6.0
433,-16.6,25.0,101.94,Clear,"2012-01-19 00:00:00",-20.9,69,7.0
434,-15.2,25.0,101.89,Clear,"2012-01-19 01:00:00",-18.4,76,4.0
435,-14.3,25.0,101.86,Clear,"2012-01-19 02:00:00",-17.4,77,6.0
436,-18.0,25.0,101.83,Clear,"2012-01-19 03:00:00",-21.6,73,6.0
437,-15.4,25.0,101.81,Clear,"2012-01-19 04:00:00",-18.3,78,7.0
438,-16.6,25.0,101.85,Clear,"2012-01-19 05:00:00",-19.9,76,6.0
439,-15.3,25.0,101.83,Clear,"2012-01-19 06:00:00",-19.7,69,6.0
440,-14.6,24.1,101.84,Clear,"2012-01-19 07:00:00",-19.2,68,6.0
441,-13.7,48.3,101.84,Clear,"2012-01-19 08:00:00",-18.4,68,19.0
442,-12.7,48.3,101.73,Clear,"2012-01-19 09:00:00",-17.2,69,17.0
466,-12.2,24.1,101.59,Clear,"2012-01-20 09:00:00",-18.1,61,32.0
468,-14.2,24.1,101.84,Clear,"2012-01-20 11:00:00",-21.2,55,32.0
469,-15.2,24.1,101.88,Clear,"2012-01-20 12:00:00",-22.1,56,30.0
470,-15.8,24.1,101.96,Clear,"2012-01-20 13:00:00",-23.7,51,30.0
495,-12.5,24.1,102.01,Clear,"2012-01-21 14:00:00",-19.7,55,13.0
496,-11.8,24.1,102.06,Clear,"2012-01-21 15:00:00",-18.9,56,11.0
497,-11.6,48.3,102.11,Clear,"2012-01-21 16:00:00",-18.8,55,7.0
498,-12.1,48.3,102.16,Clear,"2012-01-21 17:00:00",-19.8,53,11.0
499,-13.0,25.0,102.24,Clear,"2012-01-21 18:00:00",-20.2,55,6.0
500,-13.4,25.0,102.27,Clear,"2012-01-21 19:00:00",-19.9,58,4.0
501,-18.5,25.0,102.36,Clear,"2012-01-21 20:00:00",-24.4,60,4.0
502,-16.0,25.0,102.47,Clear,"2012-01-21 21:00:00",-20.8,66,9.0
503,-17.6,25.0,102.52,Clear,"2012-01-21 22:00:00",-23.3,61,0.0
505,-18.3,25.0,102.57,Clear,"2012-01-22 00:00:00",-22.5,70,0.0
506,-17.5,25.0,102.64,Clear,"2012-01-22 01:00:00",-21.3,72,4.0
507,-18.5,25.0,102.71,Clear,"2012-01-22 02:00:00",-22.6,70,0.0
526,-12.9,16.1,102.38,Clear,"2012-01-22 21:00:00",-17.2,70,15.0
602,-7.0,25.0,101.95,Clear,"2012-01-26 01:00:00",-12.1,67,4.0
603,-8.2,25.0,101.99,Clear,"2012-01-26 02:00:00",-12.6,71,6.0
604,-8.1,25.0,101.97,Clear,"2012-01-26 03:00:00",-12.5,71,0.0
605,-8.5,25.0,101.95,Clear,"2012-01-26 04:00:00",-13.5,67,0.0
606,-9.0,25.0,102.02,Clear,"2012-01-26 05:00:00",-13.9,68,6.0
607,-11.2,25.0,102.06,Clear,"2012-01-26 06:00:00",-15.0,73,6.0
609,-9.2,24.1,102.08,Clear,"2012-01-26 08:00:00",-13.3,72,6.0
696,-3.4,25.0,100.85,Clear,"2012-01-29 23:00:00",-7.6,73,15.0
697,-3.7,25.0,100.89,Clear,"2012-01-30 00:00:00",-8.8,68,11.0
699,-5.1,25.0,100.99,Clear,"2012-01-30 02:00:00",-10.0,68,15.0
700,-6.1,25.0,101.07,Clear,"2012-01-30 03:00:00",-10.3,72,11.0
701,-7.7,25.0,101.19,Clear,"2012-01-30 04:00:00",-11.8,72,11.0
702,-7.9,25.0,101.33,Clear,"2012-01-30 05:00:00",-13.8,63,13.0
703,-8.9,25.0,101.47,Clear,"2012-01-30 06:00:00",-15.1,61,15.0
704,-9.8,25.0,101.55,Clear,"2012-01-30 07:00:00",-16.0,61,15.0
705,-10.5,48.3,101.68,Clear,"2012-01-30 08:00:00",-17.0,59,9.0
711,-6.7,48.3,101.81,Clear,"2012-01-30 14:00:00",-15.0,52,22.0
823,-9.4,25.0,102.27,Clear,"2012-02-04 06:00:00",-13.9,70,9.0
824,-11.0,48.3,102.25,Clear,"2012-02-04 07:00:00",-14.7,74,7.0
825,-11.6,48.3,102.31,Clear,"2012-02-04 08:00:00",-15.6,72,9.0
826,-9.6,48.3,102.37,Clear,"2012-02-04 09:00:00",-14.1,70,13.0
828,-7.6,48.3,102.29,Clear,"2012-02-04 11:00:00",-13.6,62,0.0
833,-5.7,48.3,101.99,Clear,"2012-02-04 16:00:00",-12.8,57,9.0
834,-6.2,48.3,101.97,Clear,"2012-02-04 17:00:00",-13.5,56,11.0
835,-6.6,25.0,101.96,Clear,"2012-02-04 18:00:00",-13.7,57,9.0
836,-7.7,25.0,101.97,Clear,"2012-02-04 19:00:00",-14.0,61,7.0
837,-8.8,25.0,101.97,Clear,"2012-02-04 20:00:00",-14.4,64,6.0
838,-9.9,25.0,101.97,Clear,"2012-02-04 21:00:00",-14.5,69,6.0
839,-10.3,25.0,101.93,Clear,"2012-02-04 22:00:00",-14.9,69,0.0
840,-10.1,25.0,101.89,Clear,"2012-02-04 23:00:00",-14.3,71,0.0
841,-11.9,25.0,101.89,Clear,"2012-02-05 00:00:00",-15.3,76,6.0
842,-12.1,25.0,101.87,Clear,"2012-02-05 01:00:00",-15.0,79,6.0
843,-14.4,25.0,101.88,Clear,"2012-02-05 02:00:00",-17.1,80,6.0
844,-12.9,25.0,101.86,Clear,"2012-02-05 03:00:00",-15.7,79,6.0
845,-14.9,25.0,101.86,Clear,"2012-02-05 04:00:00",-17.9,78,6.0
846,-14.2,25.0,101.91,Clear,"2012-02-05 05:00:00",-17.0,79,7.0
847,-14.7,19.3,101.93,Clear,"2012-02-05 06:00:00",-17.5,79,4.0
848,-15.7,24.1,101.93,Clear,"2012-02-05 07:00:00",-18.6,78,4.0
849,-15.0,24.1,101.95,Clear,"2012-02-05 08:00:00",-17.5,81,4.0
850,-13.5,24.1,101.97,Clear,"2012-02-05 09:00:00",-16.1,81,0.0
902,-5.2,24.1,101.73,Clear,"2012-02-07 13:00:00",-14.3,49,15.0
903,-5.1,24.1,101.79,Clear,"2012-02-07 14:00:00",-15.1,45,15.0
904,-4.8,24.1,101.85,Clear,"2012-02-07 15:00:00",-15.4,43,19.0
905,-5.0,24.1,101.88,Clear,"2012-02-07 16:00:00",-16.4,40,22.0
906,-5.9,48.3,101.94,Clear,"2012-02-07 17:00:00",-17.6,39,19.0
907,-7.3,25.0,102.03,Clear,"2012-02-07 18:00:00",-17.4,44,11.0
908,-8.2,25.0,102.09,Clear,"2012-02-07 19:00:00",-17.8,46,9.0
909,-9.2,25.0,102.12,Clear,"2012-02-07 20:00:00",-18.4,47,11.0
910,-9.6,25.0,102.15,Clear,"2012-02-07 21:00:00",-18.9,47,13.0
911,-10.8,25.0,102.21,Clear,"2012-02-07 22:00:00",-20.1,46,9.0
912,-11.8,25.0,102.21,Clear,"2012-02-07 23:00:00",-20.8,47,9.0
913,-13.8,25.0,102.21,Clear,"2012-02-08 00:00:00",-21.5,52,4.0
914,-11.9,25.0,102.21,Clear,"2012-02-08 01:00:00",-20.6,48,9.0
915,-12.1,25.0,102.2,Clear,"2012-02-08 02:00:00",-20.4,50,6.0
916,-12.4,25.0,102.15,Clear,"2012-02-08 03:00:00",-20.4,51,11.0
917,-14.0,25.0,102.13,Clear,"2012-02-08 04:00:00",-21.0,55,4.0
918,-12.6,25.0,102.11,Clear,"2012-02-08 05:00:00",-21.2,49,0.0
925,-4.6,48.3,101.76,Clear,"2012-02-08 12:00:00",-12.9,52,20.0
926,-3.3,48.3,101.63,Clear,"2012-02-08 13:00:00",-12.9,47,32.0
932,-3.2,25.0,101.28,Clear,"2012-02-08 19:00:00",-12.4,49,22.0
933,-3.3,25.0,101.26,Clear,"2012-02-08 20:00:00",-12.1,51,22.0
936,-3.6,25.0,101.19,Clear,"2012-02-08 23:00:00",-8.1,71,20.0
937,-4.0,25.0,101.17,Clear,"2012-02-09 00:00:00",-8.3,72,13.0
938,-3.4,25.0,101.16,Clear,"2012-02-09 01:00:00",-7.9,71,13.0
939,-3.9,25.0,101.17,Clear,"2012-02-09 02:00:00",-8.0,73,11.0
940,-3.5,25.0,101.12,Clear,"2012-02-09 03:00:00",-7.9,72,24.0
941,-3.4,25.0,101.1,Clear,"2012-02-09 04:00:00",-8.0,70,26.0
942,-4.1,25.0,101.11,Clear,"2012-02-09 05:00:00",-8.3,73,20.0
943,-4.9,25.0,101.13,Clear,"2012-02-09 06:00:00",-8.9,73,20.0
945,-4.9,24.1,101.23,Clear,"2012-02-09 08:00:00",-8.8,74,20.0
948,-1.2,24.1,101.27,Clear,"2012-02-09 11:00:00",-7.3,63,24.0
949,-0.1,48.3,101.19,Clear,"2012-02-09 12:00:00",-7.3,58,24.0
950,0.7,48.3,101.13,Clear,"2012-02-09 13:00:00",-7.1,56,26.0
951,1.5,24.1,101.05,Clear,"2012-02-09 14:00:00",-6.3,56,30.0
952,2.4,48.3,101.03,Clear,"2012-02-09 15:00:00",-6.2,53,24.0
953,2.7,48.3,101.01,Clear,"2012-02-09 16:00:00",-6.5,51,22.0
954,2.0,48.3,101.02,Clear,"2012-02-09 17:00:00",-6.3,54,20.0
955,1.6,24.1,101.06,Clear,"2012-02-09 18:00:00",-6.6,54,22.0
956,0.4,25.0,101.1,Clear,"2012-02-09 19:00:00",-5.9,63,20.0
957,0.5,25.0,101.11,Clear,"2012-02-09 20:00:00",-6.6,59,17.0
958,0.2,25.0,101.13,Clear,"2012-02-09 21:00:00",-5.5,65,22.0
959,0.8,25.0,101.11,Clear,"2012-02-09 22:00:00",-4.7,67,28.0
960,0.1,25.0,101.1,Clear,"2012-02-09 23:00:00",-4.9,69,26.0
961,0.4,25.0,101.12,Clear,"2012-02-10 00:00:00",-3.5,75,22.0
962,0.1,25.0,101.13,Clear,"2012-02-10 01:00:00",-4.1,73,19.0
963,0.0,25.0,101.15,Clear,"2012-02-10 02:00:00",-4.3,73,22.0
964,-1.0,25.0,101.13,Clear,"2012-02-10 03:00:00",-4.3,78,17.0
965,-0.8,25.0,101.1,Clear,"2012-02-10 04:00:00",-4.4,77,20.0
966,-0.8,25.0,101.07,Clear,"2012-02-10 05:00:00",-4.3,77,22.0
967,-0.7,25.0,101.07,Clear,"2012-02-10 06:00:00",-4.0,78,22.0
1003,-12.8,25.0,100.72,Clear,"2012-02-11 18:00:00",-17.9,66,4.0
1004,-14.0,25.0,100.74,Clear,"2012-02-11 19:00:00",-21.2,54,7.0
1005,-14.4,25.0,100.73,Clear,"2012-02-11 20:00:00",-19.9,63,9.0
1006,-13.9,25.0,100.71,Clear,"2012-02-11 21:00:00",-18.6,68,7.0
1007,-13.5,25.0,100.7,Clear,"2012-02-11 22:00:00",-18.2,68,6.0
1008,-14.5,25.0,100.68,Clear,"2012-02-11 23:00:00",-20.8,59,13.0
1009,-15.0,25.0,100.66,Clear,"2012-02-12 00:00:00",-22.4,53,11.0
1011,-15.9,25.0,100.6,Clear,"2012-02-12 02:00:00",-23.7,51,6.0
1173,-1.7,25.0,101.09,Clear,"2012-02-18 20:00:00",-7.8,63,11.0
1174,-2.4,25.0,101.16,Clear,"2012-02-18 21:00:00",-8.1,65,9.0
1175,-3.5,25.0,101.21,Clear,"2012-02-18 22:00:00",-8.3,69,9.0
1176,-3.9,25.0,101.29,Clear,"2012-02-18 23:00:00",-8.7,69,9.0
1177,-3.9,25.0,101.37,Clear,"2012-02-19 00:00:00",-8.8,69,13.0
1180,-6.0,25.0,101.43,Clear,"2012-02-19 03:00:00",-10.3,72,0.0
1183,-6.7,25.0,101.5,Clear,"2012-02-19 06:00:00",-10.3,76,6.0
1191,-2.3,48.3,101.45,Clear,"2012-02-19 14:00:00",-9.5,58,15.0
1192,-1.6,48.3,101.43,Clear,"2012-02-19 15:00:00",-9.3,56,17.0
1193,-1.6,48.3,101.37,Clear,"2012-02-19 16:00:00",-9.7,54,20.0
1194,-2.1,48.3,101.36,Clear,"2012-02-19 17:00:00",-9.8,56,15.0
1195,-2.9,48.3,101.39,Clear,"2012-02-19 18:00:00",-9.8,59,13.0
1196,-3.2,25.0,101.43,Clear,"2012-02-19 19:00:00",-10.0,59,15.0
1197,-3.8,25.0,101.47,Clear,"2012-02-19 20:00:00",-10.1,62,13.0
1198,-4.8,25.0,101.51,Clear,"2012-02-19 21:00:00",-10.0,67,11.0
1199,-5.4,25.0,101.52,Clear,"2012-02-19 22:00:00",-10.2,69,9.0
1200,-6.3,25.0,101.52,Clear,"2012-02-19 23:00:00",-11.8,65,7.0
1201,-6.7,25.0,101.55,Clear,"2012-02-20 00:00:00",-12.4,64,4.0
1202,-7.6,25.0,101.63,Clear,"2012-02-20 01:00:00",-12.6,67,0.0
1203,-8.8,25.0,101.66,Clear,"2012-02-20 02:00:00",-12.3,76,4.0
1204,-8.8,25.0,101.68,Clear,"2012-02-20 03:00:00",-12.7,73,7.0
1205,-9.8,25.0,101.69,Clear,"2012-02-20 04:00:00",-13.0,77,6.0
1206,-10.2,25.0,101.77,Clear,"2012-02-20 05:00:00",-13.7,75,6.0
1207,-10.7,25.0,101.81,Clear,"2012-02-20 06:00:00",-14.3,75,4.0
1208,-11.0,24.1,101.87,Clear,"2012-02-20 07:00:00",-14.4,76,4.0
1218,-1.9,48.3,102.08,Clear,"2012-02-20 17:00:00",-8.9,59,17.0
1219,-3.2,48.3,102.1,Clear,"2012-02-20 18:00:00",-8.8,65,9.0
1220,-3.6,25.0,102.13,Clear,"2012-02-20 19:00:00",-8.7,68,7.0
1222,-3.5,25.0,102.18,Clear,"2012-02-20 21:00:00",-8.9,66,6.0
1223,-3.3,25.0,102.2,Clear,"2012-02-20 22:00:00",-8.8,66,0.0
1224,-5.8,25.0,102.2,Clear,"2012-02-20 23:00:00",-9.3,76,4.0
1225,-4.0,25.0,102.21,Clear,"2012-02-21 00:00:00",-8.1,73,9.0
1226,-4.3,25.0,102.18,Clear,"2012-02-21 01:00:00",-8.4,73,6.0
1227,-4.1,25.0,102.21,Clear,"2012-02-21 02:00:00",-8.1,74,7.0
1228,-5.3,25.0,102.19,Clear,"2012-02-21 03:00:00",-8.9,76,4.0
1229,-5.2,25.0,102.12,Clear,"2012-02-21 04:00:00",-8.2,79,4.0
1292,1.6,25.0,100.05,Clear,"2012-02-23 19:00:00",-4.8,62,19.0
1293,1.1,25.0,100.12,Clear,"2012-02-23 20:00:00",-5.0,64,15.0
1294,0.5,25.0,100.23,Clear,"2012-02-23 21:00:00",-5.2,66,13.0
1295,-0.2,25.0,100.28,Clear,"2012-02-23 22:00:00",-5.4,68,9.0
1296,-1.0,25.0,100.31,Clear,"2012-02-23 23:00:00",-5.2,73,7.0
1297,-0.9,25.0,100.34,Clear,"2012-02-24 00:00:00",-5.1,73,6.0
1298,-1.7,25.0,100.29,Clear,"2012-02-24 01:00:00",-5.1,78,4.0
1299,-1.8,25.0,100.2,Clear,"2012-02-24 02:00:00",-5.4,76,0.0
1347,-9.2,25.0,101.26,Clear,"2012-02-26 02:00:00",-14.6,65,22.0
1350,-11.6,25.0,101.77,Clear,"2012-02-26 05:00:00",-15.9,70,20.0
1351,-11.3,25.0,101.92,Clear,"2012-02-26 06:00:00",-16.8,64,22.0
1352,-12.1,48.3,102.07,Clear,"2012-02-26 07:00:00",-17.8,62,22.0
1355,-11.2,48.3,102.35,Clear,"2012-02-26 10:00:00",-20.3,47,22.0
1356,-10.1,48.3,102.39,Clear,"2012-02-26 11:00:00",-20.1,44,26.0
1357,-9.3,48.3,102.42,Clear,"2012-02-26 12:00:00",-18.6,47,28.0
1402,-8.3,48.3,102.63,Clear,"2012-02-28 09:00:00",-13.8,64,20.0
1403,-7.5,24.1,102.65,Clear,"2012-02-28 10:00:00",-13.6,62,13.0
1404,-6.5,48.3,102.69,Clear,"2012-02-28 11:00:00",-13.1,59,9.0
1411,-5.3,24.1,102.56,Clear,"2012-02-28 18:00:00",-12.5,57,17.0
1412,-5.9,25.0,102.58,Clear,"2012-02-28 19:00:00",-12.9,58,7.0
1413,-6.8,25.0,102.56,Clear,"2012-02-28 20:00:00",-13.4,59,11.0
1414,-8.7,25.0,102.53,Clear,"2012-02-28 21:00:00",-14.6,62,11.0
1415,-8.3,25.0,102.52,Clear,"2012-02-28 22:00:00",-14.0,63,0.0
1416,-10.0,25.0,102.52,Clear,"2012-02-28 23:00:00",-15.3,65,9.0
1417,-8.2,25.0,102.51,Clear,"2012-02-29 00:00:00",-13.8,64,9.0
1418,-9.5,25.0,102.47,Clear,"2012-02-29 01:00:00",-14.8,65,4.0
1420,-11.5,25.0,102.45,Clear,"2012-02-29 03:00:00",-14.7,77,0.0
1422,-13.1,25.0,102.4,Clear,"2012-02-29 05:00:00",-16.0,79,0.0
1423,-12.2,25.0,102.41,Clear,"2012-02-29 06:00:00",-15.2,78,0.0
1539,-14.5,25.0,100.39,Clear,"2012-03-05 02:00:00",-22.3,52,24.0
1540,-15.0,25.0,100.47,Clear,"2012-03-05 03:00:00",-21.5,58,22.0
1541,-15.5,25.0,100.55,Clear,"2012-03-05 04:00:00",-21.9,58,26.0
1542,-15.9,25.0,100.69,Clear,"2012-03-05 05:00:00",-22.1,59,20.0
1556,-10.1,25.0,102.01,Clear,"2012-03-05 19:00:00",-19.1,48,20.0
1558,-11.0,25.0,102.23,Clear,"2012-03-05 21:00:00",-19.6,49,17.0
1559,-11.6,25.0,102.29,Clear,"2012-03-05 22:00:00",-20.2,49,15.0
1560,-12.6,25.0,102.34,Clear,"2012-03-05 23:00:00",-20.3,53,11.0
1561,-13.4,25.0,102.41,Clear,"2012-03-06 00:00:00",-20.5,55,11.0
1562,-13.4,25.0,102.5,Clear,"2012-03-06 01:00:00",-20.3,56,11.0
1563,-13.7,25.0,102.55,Clear,"2012-03-06 02:00:00",-20.7,55,4.0
1564,-14.8,25.0,102.61,Clear,"2012-03-06 03:00:00",-21.1,59,9.0
1565,-14.5,25.0,102.7,Clear,"2012-03-06 04:00:00",-21.1,57,9.0
1566,-14.6,25.0,102.85,Clear,"2012-03-06 05:00:00",-21.0,58,13.0
1567,-15.3,24.1,102.9,Clear,"2012-03-06 06:00:00",-21.3,60,11.0
1568,-14.8,48.3,103.0,Clear,"2012-03-06 07:00:00",-20.7,61,11.0
1569,-13.0,48.3,103.06,Clear,"2012-03-06 08:00:00",-19.4,59,0.0
1570,-11.3,48.3,103.1,Clear,"2012-03-06 09:00:00",-19.1,52,6.0
1594,-2.5,24.1,101.85,Clear,"2012-03-07 09:00:00",-7.7,67,11.0
1595,-0.1,24.1,101.76,Clear,"2012-03-07 10:00:00",-6.5,62,6.0
1640,-5.0,24.1,101.31,Clear,"2012-03-09 07:00:00",-9.7,70,15.0
1641,-4.7,24.1,101.41,Clear,"2012-03-09 08:00:00",-10.2,65,15.0
1642,-4.0,24.1,101.46,Clear,"2012-03-09 09:00:00",-9.5,66,20.0
1669,-4.1,48.3,102.99,Clear,"2012-03-10 12:00:00",-12.1,54,7.0
1688,-1.8,48.3,101.97,Clear,"2012-03-11 07:00:00",-6.9,68,11.0
1689,0.1,48.3,102.0,Clear,"2012-03-11 08:00:00",-6.2,63,7.0
1691,3.8,48.3,101.97,Clear,"2012-03-11 10:00:00",-5.7,50,13.0
1692,5.9,48.3,101.92,Clear,"2012-03-11 11:00:00",-4.2,48,11.0
1693,6.8,48.3,101.86,Clear,"2012-03-11 12:00:00",-3.2,49,24.0
1694,9.0,48.3,101.79,Clear,"2012-03-11 13:00:00",-1.9,46,20.0
1695,9.5,48.3,101.74,Clear,"2012-03-11 14:00:00",-1.6,46,24.0
1696,10.5,48.3,101.69,Clear,"2012-03-11 15:00:00",-1.3,44,20.0
1697,10.9,48.3,101.65,Clear,"2012-03-11 16:00:00",-0.7,45,15.0
1698,10.7,48.3,101.65,Clear,"2012-03-11 17:00:00",-0.6,45,11.0
1699,9.1,25.0,101.68,Clear,"2012-03-11 18:00:00",-1.0,49,7.0
1700,7.4,25.0,101.69,Clear,"2012-03-11 19:00:00",-1.2,54,6.0
1701,4.8,48.3,101.7,Clear,"2012-03-11 20:00:00",-1.5,64,9.0
1703,5.2,25.0,101.72,Clear,"2012-03-11 22:00:00",-1.9,60,6.0
1704,6.1,25.0,101.75,Clear,"2012-03-11 23:00:00",-2.0,56,7.0
1705,6.0,25.0,101.77,Clear,"2012-03-12 00:00:00",-1.8,57,20.0
1710,2.3,25.0,101.82,Clear,"2012-03-12 05:00:00",-1.9,74,9.0
1711,3.1,48.3,101.89,Clear,"2012-03-12 06:00:00",-1.8,70,11.0
1852,3.9,25.0,101.66,Clear,"2012-03-18 03:00:00",2.4,90,7.0
1853,3.2,25.0,101.69,Clear,"2012-03-18 04:00:00",2.3,94,6.0
1854,3.5,25.0,101.7,Clear,"2012-03-18 05:00:00",2.4,92,6.0
1855,3.6,24.1,101.72,Clear,"2012-03-18 06:00:00",2.6,93,7.0
1860,14.1,48.3,101.71,Clear,"2012-03-18 11:00:00",7.6,65,13.0
1861,17.3,48.3,101.63,Clear,"2012-03-18 12:00:00",8.7,57,11.0
1869,12.8,25.0,101.34,Clear,"2012-03-18 20:00:00",8.6,76,7.0
1874,10.8,25.0,101.39,Clear,"2012-03-19 01:00:00",8.5,86,6.0
1875,10.6,25.0,101.42,Clear,"2012-03-19 02:00:00",8.6,87,4.0
1876,10.2,25.0,101.42,Clear,"2012-03-19 03:00:00",8.3,88,11.0
1877,11.2,25.0,101.49,Clear,"2012-03-19 04:00:00",9.0,86,6.0
1878,9.7,25.0,101.5,Clear,"2012-03-19 05:00:00",8.1,90,7.0
1894,9.5,25.0,101.8,Clear,"2012-03-19 21:00:00",4.1,69,15.0
1895,8.8,25.0,101.83,Clear,"2012-03-19 22:00:00",2.7,66,17.0
1896,7.2,25.0,101.86,Clear,"2012-03-19 23:00:00",1.8,69,9.0
1897,7.1,25.0,101.85,Clear,"2012-03-20 00:00:00",1.0,65,11.0
1898,6.1,25.0,101.85,Clear,"2012-03-20 01:00:00",0.7,68,11.0
1899,5.7,25.0,101.85,Clear,"2012-03-20 02:00:00",0.4,69,11.0
1900,5.2,25.0,101.86,Clear,"2012-03-20 03:00:00",0.2,70,7.0
1901,5.2,25.0,101.88,Clear,"2012-03-20 04:00:00",-0.2,68,4.0
1902,5.0,25.0,101.92,Clear,"2012-03-20 05:00:00",-0.3,69,7.0
1903,3.2,24.1,101.97,Clear,"2012-03-20 06:00:00",-0.6,76,4.0
1904,5.5,24.1,102.0,Clear,"2012-03-20 07:00:00",-0.1,67,4.0
1905,8.0,24.1,102.08,Clear,"2012-03-20 08:00:00",0.6,60,6.0
1908,14.9,24.1,102.02,Clear,"2012-03-20 11:00:00",4.0,48,6.0
1909,16.5,24.1,101.98,Clear,"2012-03-20 12:00:00",6.7,52,9.0
1910,20.0,24.1,101.93,Clear,"2012-03-20 13:00:00",10.8,55,13.0
1911,21.5,24.1,101.83,Clear,"2012-03-20 14:00:00",11.8,54,11.0
1912,22.5,24.1,101.78,Clear,"2012-03-20 15:00:00",12.3,52,9.0
1913,23.3,24.1,101.73,Clear,"2012-03-20 16:00:00",12.1,49,7.0
1914,22.0,24.1,101.72,Clear,"2012-03-20 17:00:00",12.1,53,7.0
1915,19.7,24.1,101.74,Clear,"2012-03-20 18:00:00",11.7,60,4.0
1916,17.5,25.0,101.79,Clear,"2012-03-20 19:00:00",10.9,65,6.0
1917,18.1,25.0,101.85,Clear,"2012-03-20 20:00:00",11.6,66,4.0
1918,16.0,25.0,101.89,Clear,"2012-03-20 21:00:00",10.9,72,6.0
1919,14.2,25.0,101.9,Clear,"2012-03-20 22:00:00",10.3,77,4.0
1920,14.3,25.0,101.91,Clear,"2012-03-20 23:00:00",10.7,79,6.0
1921,14.0,25.0,101.9,Clear,"2012-03-21 00:00:00",11.0,82,9.0
1922,12.4,25.0,101.92,Clear,"2012-03-21 01:00:00",10.5,88,4.0
1923,11.8,25.0,101.93,Clear,"2012-03-21 02:00:00",10.3,91,6.0
1924,11.4,25.0,101.93,Clear,"2012-03-21 03:00:00",9.8,90,4.0
1925,10.6,25.0,101.95,Clear,"2012-03-21 04:00:00",9.1,90,0.0
1926,10.0,25.0,102.02,Clear,"2012-03-21 05:00:00",8.8,92,0.0
1929,13.8,12.9,102.15,Clear,"2012-03-21 08:00:00",11.5,86,9.0
1930,15.9,19.3,102.17,Clear,"2012-03-21 09:00:00",11.8,77,7.0
1931,18.2,24.1,102.09,Clear,"2012-03-21 10:00:00",12.5,69,13.0
1932,20.2,24.1,102.01,Clear,"2012-03-21 11:00:00",12.3,60,15.0
1933,22.3,24.1,101.94,Clear,"2012-03-21 12:00:00",12.6,54,15.0
1934,23.8,24.1,101.85,Clear,"2012-03-21 13:00:00",12.1,48,17.0
